e_number,ins_number,name,functional_class,typical_role_or_foods,digestion_absorption,metabolism,potential_effects,human_evidence,animal_evidence,adi_tdi,efsa_assessment,jecfa_assessment,eu_regulatory_note,confidence,curation_status,primary_sources,last_reviewed,notes
E466,466,Carboxymethyl cellulose (CMC),Thickener; stabilizer,Modified cellulose hydrocolloid,,,Human and mechanistic literature on emulsifiers/CMC is evolving; avoid causal claims from isolated studies.,,,,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E471,471,Mono- and diglycerides of fatty acids,Emulsifier,Food emulsifier derived from glycerol + fatty acids,,,,,,,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E500,500,Sodium carbonates,Acidity regulator; raising agent,Baking/leavening and pH control,,,,,,,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E621,621,Monosodium glutamate (MSG),Flavour enhancer,Glutamate salt; umami flavour,Dissociates to sodium and glutamate; glutamate is absorbed and extensively utilized by the gut and other tissues.,Enters normal amino-acid metabolism.,Separate normal dietary exposure from high bolus-dose symptom reports.,,,ADI not specified (JECFA),,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E627,627,Disodium guanylate,Flavour enhancer,Nucleotide flavour enhancer,,,,,,,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E631,631,Disodium inosinate,Flavour enhancer,Nucleotide flavour enhancer,,,,,,,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E950,950,Acesulfame K,Sweetener,High-intensity sweetener,,,,,,0-15 mg/kg bw/day,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E951,951,Aspartame,Sweetener,High-intensity sweetener; contains phenylalanine,Hydrolyzed in the gut to constituent amino acids and methanol.,Constituents enter normal metabolic pathways; phenylalanine is important for people with PKU.,Assessments distinguish hazard identification from dietary risk at actual exposure; PKU labelling is essential.,Large evidence base; conclusions should be tied to authority/date and dose.,,0-40 mg/kg bw/day,EFSA established ADI: 40 mg/kg bw/day.,JECFA reaffirmed ADI 0-40 mg/kg bw/day in 2023.,Phenylalanine-related labelling applies under EU rules.,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E952,952,Cyclamates,Sweetener,High-intensity sweetener,,,,,,0-11 mg/kg bw/day as cyclamic acid,,,,Medium,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E954,954,Saccharins,Sweetener,High-intensity sweetener,,,,,,0-5 mg/kg bw/day,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E955,955,Sucralose,Sweetener,High-intensity chlorinated sucrose derivative,Only partly absorbed; a substantial fraction is excreted unchanged.,Limited metabolism; absorbed fraction is largely excreted.,,,,0-15 mg/kg bw/day,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,
E960,960,Steviol glycosides,Sweetener,High-intensity sweetener,Gut microbiota hydrolyze steviol glycosides to steviol before absorption.,Steviol is conjugated and excreted.,,,,0-4 mg/kg bw/day as steviol equivalents,,,,High,Curated starter,https://www.efsa.europa.eu/en/topics/topic/food-additives | https://apps.who.int/food-additives-contaminants-jecfa-database/Home/ | https://codex.fao.org/codex-texts/codex-online-databases/gsfa | https://food.ec.europa.eu/food-safety/food-improvement-agents/additives_en,2026-09-08,

